prix,surface,prix_m2,nb_pieces,type,quartier,ville
229000.0,66.0,,3.0,Appartement,,Toulon
335000.0,4.0,,4.0,Appartement,,Toulon
460000.0,63.0,7304.0,3.0,Appartement,Cap Brun,Toulon
290000.0,58.0,,3.0,Appartement,La Palasse,Toulon
434000.0,71.0,6078.0,3.0,Appartement,La Palasse,Toulon
289000.0,58.0,,3.0,Appartement,La Palasse,Toulon
459000.0,71.0,6424.0,4.0,,La Palasse,Toulon
1095000.0,40.0,,8.0,Maison,Située Dans Le Quartier Recherché De Siblas À Toulon,Toulon
96000.0,7.0,,1.0,Appartement,Iad France - Ségolène Lorthioir Vous Propose: Studio Meublé Idéalement Situé À Toulon,Toulon
860000.0,870.0,6880.0,5.0,Maison,Iad France - Thibault Hutter Vous Propose: Maison Familiale Avec Dépendances,Toulon
1090000.0,213.0,5142.0,5.0,Appartement,Situé Sur Les Hauteurs De Toulon Dans Le Var,Toulon
250000.0,3.0,,3.0,Appartement,,Toulon
275000.0,65.0,,3.0,Appartement,,Toulon
223230.0,70.0,,3.0,Appartement,Exclusivité Amanda - Appartement 3 Pieces - Cave - Garage Toulon - Secteur Mayol Découvrez Ce Bel Appartement 3 Pièces Offrant De Beaux Volumes Et Des Prestations Confortables,Toulon
170119.0,39.0,,46.0,Appartement,Iad France - Laurent Nosbaume Vous Propose : À Toulon,Toulon
612000.0,4.0,6120.0,4.0,Maison,Cap Brun,Toulon
232038.0,44.0,5274.0,2.0,Appartement,La Roseraie,Toulon
780000.0,121.0,6446.0,4.0,Maison,Iad France - Hajer Lamalaa Vous Propose: 4 Chemins Des Routes - Vue Mer - Vue Montagne - Piscine - Exposition Sud - Calme À Toulon,Toulon
445000.0,65.0,6846.0,3.0,Appartement,Cap Brun,Toulon
123900.0,51.0,,3.0,Appartement,Iad France - Anne-Sophie Thomas Vous Propose: Découvrez Cet Appartement T2 Bis À Toulon - Idéalement Situé Entre Le Port Et Les Halles. Vous Recherchez Un Appartement Chaleureux,Toulon
369000.0,3.0,,3.0,Appartement,La Serinette,Toulon
250000.0,4.0,,4.0,Appartement,Découvrez Cet Appartement T4 De 85 M²,Toulon
297000.0,61.0,,3.0,Appartement,Cap Brun,Toulon
665000.0,1.0,5496.0,5.0,Appartement,Cap Brun,Toulon
118500.0,2.0,,2.0,Appartement,Iad France - Aurelia Denoual Vous Propose: Toulon Centre – T2 De 38 M² Avec Cour,Toulon
225000.0,70.0,,3.0,Appartement,Super-Toulon,Toulon
278000.0,85.0,,85.0,Appartement,Découvrez Ce Grand Appartement D'Environ 85M²,Toulon
205000.0,58.0,,3.0,Appartement,Mourillon-Centre,Toulon
149000.0,50.0,,2.0,Appartement,Iad France - Murielle Biffe Vous Propose: Toulon – Coeur De Ville – T2 Clé En Main Avec Beaux Volumes,Toulon
950000.0,170.0,5588.0,6.0,Maison,Coup De Cœur ! Quartier La Serinette,Toulon
299147.0,65.0,,3.0,Appartement,La Roseraie,Toulon
169000.0,3.0,,3.0,Appartement,Situé À L'Entrée De Toulon,Toulon
178500.0,78.0,,3.0,Appartement,Iad France - Willy Osinski Vous Propose: Toulon – Proche Chalucet – T3 Spacieux Rénové Avec Balcon Et Cave Situé Au Coeur De Toulon,Toulon
118580.0,2.0,,2.0,Appartement,Exclusivité Agréable T2 Avec Ascenseur À Toulon Idéal 1Er Achat Ou Investissement ! 38 M² 1 Chambre Ascenseur Résidence 2010 Vous Cherchez Un Cocon Douillet,Toulon
1265000.0,148.0,8532.0,4.0,,Profitez Des Frais De Notaire Offerts Et Découvrez Une Adresse D'Exception À Proximité Des Plages Et Au Cœur Du Quartier Cap Brun À Toulon A L'Abri Des Regards,Toulon
1260000.0,151.0,8347.0,4.0,,Profitez Des Frais De Notaire Offerts Et Découvrez Une Adresse D'Exception À Proximité Des Plages Et Au Cœur Du Quartier Cap Brun À Toulon A L'Abri Des Regards,Toulon
90000.0,38.0,,2.0,Appartement,Champ De Mars,Toulon
153000.0,47.0,,2.0,Appartement,83200 Toulon – T2 Dernier Étage Avec Ascenseur – Lumineux – Idéal Primo-Accédant Ou Investisseur Sophie Piaud & Efficity Vous Proposent Cet Appartement Plein De Charme,Toulon
210000.0,60.0,,3.0,Appartement,,Toulon
440000.0,65.0,6769.0,3.0,Appartement,Cap Brun,Toulon
295000.0,428.0,,3.0,Maison,En Exclusivité – Maison T3 Rénovée Avec Terrasse & Garage. Quartier Du Temple Sur Toulon,Toulon
172000.0,53.0,,3.0,Appartement,Toulon Aguillon - Appartement T3 Dans Une Résidence Proche De Toutes Commodités,Toulon
263750.0,3.0,,3.0,Appartement,Toulon - Sainte-Anne,Toulon
658000.0,805.0,,8.0,Maison,Exclusivité Mandat Confiance - Toulon Est Située Dans Un Quartier Familial Et Dynamique,Toulon
210000.0,65.0,,1950.0,Appartement,Pont-Du-Las,Toulon
256000.0,3.0,,3.0,Appartement,T3 Sans Vis A Vis Terrasse Plein Sud Contact : Julie Devaux À L'Est De La Métropole Toulonnaise,Toulon
255120.0,60.0,,3.0,Appartement,A Decouvrir Dans Votre Agence Century 21 Situé À Toulon Est Le Calme,Toulon
220000.0,42.0,5238.0,2.0,Appartement,Cap Brun,Toulon
199900.0,69.0,,69.0,Appartement,Les Routes,Toulon
230000.0,85.0,,4.0,Appartement,Les Routes,Toulon
560000.0,100.0,5490.0,4.0,Appartement,,Toulon
180000.0,147.0,,6.0,Appartement,Toulon Jcg Immo Vous Propose,Toulon
