id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,prix_au_m2
2024-1014881,01/07/2024,Vente,194000.0,83200,Toulon,Appartement,82.0,5,,5.896769,43.135986,2365.85
2024-1016089,01/07/2024,Vente,219000.0,83000,Toulon,Appartement,88.0,4,,5.939609,43.119554,2488.64
2024-1015991,01/07/2024,Vente,323000.0,83000,Toulon,Appartement,66.0,3,,5.937795,43.109425,4893.94
2024-1015137,01/07/2024,Vente,385000.0,83000,Toulon,Maison,77.0,4,306.0,5.948433,43.112399,5000.0
2024-1014838,01/07/2024,Vente,430000.0,83100,Toulon,Maison,93.0,5,504.0,5.978349,43.116206,4623.66
2024-1015487,01/07/2024,Vente,650000.0,83200,Toulon,Maison,222.0,7,1008.0,5.974165,43.134304,2927.93
2024-1016997,01/08/2024,Vente,39000.0,83000,Toulon,Appartement,13.0,1,,5.930739,43.123819,3000.0
2024-1016537,01/08/2024,Vente,102000.0,83100,Toulon,Appartement,43.0,2,,5.958762,43.125408,2372.09
2024-1016667,01/08/2024,Vente,123500.0,83200,Toulon,Appartement,54.0,3,,5.914877,43.143338,2287.04
2024-1016151,01/08/2024,Vente,155000.0,83100,Toulon,Appartement,48.0,2,,5.955913,43.125887,3229.17
2024-1016451,01/08/2024,Vente,185000.0,83200,Toulon,Appartement,55.0,3,,5.911219,43.129148,3363.64
2024-1016372,01/08/2024,Vente,200000.0,83000,Toulon,Appartement,70.0,5,,5.950705,43.113168,2857.14
2024-1016372,01/08/2024,Vente,200000.0,83000,Toulon,Appartement,70.0,5,,5.950705,43.113168,2857.14
2024-1016995,01/08/2024,Vente,220000.0,83000,Toulon,Appartement,102.0,3,,5.974206,43.109193,2156.86
2024-1016942,01/08/2024,Vente,344750.0,83000,Toulon,Appartement,102.0,6,3164.0,5.972342,43.109133,3379.9
2024-1016942,01/08/2024,Vente,344750.0,83000,Toulon,Appartement,44.0,2,3164.0,5.972342,43.109133,7835.23
2024-1016942,01/08/2024,Vente,344750.0,83000,Toulon,Maison,33.0,2,3164.0,5.972342,43.109133,10446.97
2024-1018651,01/10/2024,Vente,75000.0,83200,Toulon,Appartement,37.0,2,,5.913313,43.128706,2027.03
2024-1018825,01/10/2024,Vente,88285.71,83000,Toulon,Maison,42.0,2,184.0,5.967192,43.120866,2102.04
2024-1019022,01/10/2024,Vente,100000.0,83200,Toulon,Appartement,52.0,3,,5.898175,43.142156,1923.08
2024-1019022,01/10/2024,Vente,100000.0,83200,Toulon,Appartement,52.0,3,,5.898175,43.142156,1923.08
2024-1018715,01/10/2024,Vente,128000.0,83000,Toulon,Appartement,57.0,3,,5.94506,43.1213,2245.61
2024-1018357,01/10/2024,Vente,130000.0,83000,Toulon,Appartement,58.0,3,,5.922016,43.12726,2241.38
2024-1019333,01/10/2024,Vente,150000.0,83100,Toulon,Appartement,81.0,3,,5.954927,43.12312,1851.85
2024-1018930,01/10/2024,Vente,227000.0,83000,Toulon,Appartement,76.0,4,,5.93905,43.118475,2986.84
2024-1018742,01/10/2024,Vente,240800.0,83000,Toulon,Appartement,63.0,3,,5.940194,43.112712,3822.22
2024-1018433,01/10/2024,Vente,262900.0,83000,Toulon,Appartement,41.0,2,,5.945777,43.111984,6412.2
2024-1009216,02/01/2024,Vente,712600.0,83200,Toulon,Maison,167.0,4,162.0,5.897527,43.14335,4267.07
2024-1009216,02/01/2024,Vente,712600.0,83200,Toulon,Maison,167.0,4,1015.0,5.897527,43.14335,4267.07
2025-414004,02/01/2025,Vente,73000.0,83000,Toulon,Appartement,30.0,2,,5.927228,43.124605,2433.33
2025-413959,02/01/2025,Vente,88000.0,83000,Toulon,Appartement,67.0,3,,5.935284,43.121728,1313.43
