id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2025-414322;14/01/2025;1;Vente;50000;9;;CRS DE L ESPERANCE;2680;83000;83137;Toulon;83;;;83137000CY0141;;;4;29.01;7;;;;;;;;2;2;Appartement;26;1;;;;;;5.920579;43.13005
2025-414323;09/01/2025;1;Vente;290800;78;;CHE DE L AUBISQUE;475;83200;83137;Toulon;83;;;83137000EW0065;;;11;67.6;;;;;;;;;1;2;Appartement;63;4;;;;;;5.914067;43.141402
2025-414325;22/01/2025;1;Vente;133500;57;;IMP GRANDVAL;3445;83000;83137;Toulon;83;;;83137000AP0151;;;10;;18;;9;22.1;;;;;3;2;Appartement;23;2;;;;;;5.941109;43.129121
2025-414333;15/01/2025;1;Vente;598900;8;;RUE ZENON PONS;7330;83000;83137;Toulon;83;;;83137000BP0156;;;;;;;;;;;;;0;1;Maison;100;4;S;sols;;;427;5.955454;43.116952
2025-414336;17/01/2025;1;Vente;42000;103;;BD EUGENE PELLETAN;2725;83000;83137;Toulon;83;;;83137000BX0144;;;8;;;;;;;;;;1;2;Appartement;12;1;;;;;;5.936791;43.107683
2025-414339;23/01/2025;1;Vente;325000;8;;RUE DRAGON;2390;83000;83137;Toulon;83;;;83137000CI0039;;;;;;;;;;;;;0;1;Maison;114;6;S;sols;;;223;5.943457;43.124149
2025-414358;13/01/2025;1;Vente;176800;92;;RUE DU LT ANDRE FOURNIER;4480;83200;83137;Toulon;83;;;83137000DP0335;;;122;78.68;;;;;;;;;1;2;Appartement;71;4;;;;;;5.892712;43.133408
2025-414360;17/01/2025;1;Vente;90900;48;;RUE SAINTE ELISABETH;6575;83200;83137;Toulon;83;;;83137000CY0477;;;3;28.33;;;;;;;;;1;2;Appartement;27;1;;;;;;5.916277;43.128922
2025-414366;10/01/2025;1;Vente;12500;178;;AV VAUBAN;7085;83000;83137;Toulon;83;;;83137000CO0036;;;14;;;;;;;;;;1;2;Appartement;40;2;;;;;;5.929316;43.12722
2025-414367;27/01/2025;1;Vente;150000;293;;RUE HENRI POINCARE;3590;83000;83137;Toulon;83;;;83137000CD0381;;;142;61.9;;;;;;;;;1;2;Appartement;63;3;;;;;;5.941445;43.118858
2025-414371;17/01/2025;1;Vente;450000;690;;CHE DE LA BAUME;680;83200;83137;Toulon;83;;;83137000DW0343;;;;;;;;;;;;;0;1;Maison;126;4;AG;terrains d'agrément;;;438;5.910231;43.148458
2025-414371;17/01/2025;1;Vente;450000;690;;CHE DE LA BAUME;680;83200;83137;Toulon;83;;;83137000DW0343;;;;;;;;;;;;;0;1;Maison;126;4;S;sols;;;500;5.910231;43.148458
2025-414377;14/01/2025;1;Vente;145000;1621;;AV JOSEPH GASQUET;4030;83100;83137;Toulon;83;;;83137000BD0046;;;123;;175;;;;;;;;2;2;Appartement;49;2;;;;;;5.972765;43.12319
2025-414382;17/01/2025;1;Vente;123000;114;;IMP DES MURIERS;5365;83100;83137;Toulon;83;;;83137000CH0373;;;11;49.75;6;;;;;;;;2;2;Appartement;54;3;;;;;;5.949005;43.12473
2025-414385;28/01/2025;1;Vente;10000;5001;;RUE DEJUSSIEU PONTCARRAL;2121;83200;83137;Toulon;83;;;83137000DM0170;;;339;77;;;;;;;;;1;2;Appartement;77;4;;;;;;5.896866;43.127138
