"Cat_energie","prix_du_bien","prix_m2","type_de_bien","nb_pièce","nb_chambre","superficie","quartier","css-0 3"
"C","590 000 €","4 504 €/m²","Maison à vendre","4 pièces","3 chambres","131 m²","Notre Dame des Routes, Toulon (83200)",""
"E","400 000 €","4 396 €/m²","Maison à vendre","5 pièces","3 chambres","91 m²","Les Moulins, Toulon (83200)",""
"C","560 000 €","4 746 €/m²","Duplex à vendre","5 pièces","4 chambres","118 m²","Cap Brun , Toulon (83000)",""
"B","448 000 €","5 463 €/m²","Appartement à vendre","4 pièces","3 chambres","82 m²","Place d'Armes, Toulon (83000)",""
"D","196 300 €","3 635 €/m²","Appartement à vendre","3 pièces","2 chambres","54 m²","Escaillon, Toulon (83200)","Nouveau"
"D","1 290 000 €","5 864 €/m²","Maison à vendre","9 pièces","8 chambres","220 m²","Mourillon-Centre, Toulon (83000)",""
"C","318 000 €","3 698 €/m²","Duplex à vendre","3 pièces","2 chambres","86 m²","Mourillon-Centre, Toulon (83000)",""
"D","159 000 €","3 533 €/m²","Appartement à vendre","2 pièces","1 chambre","45 m²","Les Moulins, Toulon (83200)",""
"C","198 500 €","3 970 €/m²","Appartement à vendre","2 pièces","1 chambre","50 m²","Mourillon-Centre, Toulon (83000)",""
"C","168 000 €","2 823 €/m²","Appartement à vendre","3 pièces","2 chambres","59,5 m²","Toulon (83200)",""
"C","215 000 €","2 560 €/m²","Appartement à vendre","4 pièces","3 chambres","84 m²","Les Routes, Toulon (83200)",""
"C","199 000 €","2 970 €/m²","Appartement à vendre","3 pièces","2 chambres","67 m²","Saint Roch, Toulon (83200)","Nouveau"
"C","549 000 €","6 033 €/m²","Maison à vendre","4 pièces","3 chambres","91 m²","Notre Dame des Routes, Toulon (83200)",""
"D","250 000 €","2 717 €/m²","Appartement à vendre","5 pièces","3 chambres","92 m²","La Rode, Toulon (83000)",""
"D","960 000 €","5 161 €/m²","Maison à vendre","6 pièces","5 chambres","186 m²","Cap Brun , Toulon (83000)",""
"B","250 000 €","2 525 €/m²","Appartement à vendre","4 pièces","3 chambres","99 m²","Champ de Mars, Toulon (83100)",""
"C","160 000 €","1 856 €/m²","Appartement à vendre","3 pièces","1 chambre","86,2 m²","Toulon (83000)",""
"B","299 000 €","3 602 €/m²","Appartement à vendre","3 pièces","2 chambres","83 m²","Toulon (83000)",""
"C","201 680 €","2 619 €/m²","Appartement à vendre","2 pièces","1 chambre","77 m²","Toulon (83000)",""
"D","265 000 €","3 955 €/m²","Appartement à vendre","3 pièces","1 chambre","67 m²","Mourillon-Sud, Toulon (83000)",""
"D","235 000 €","3 176 €/m²","Appartement à vendre","4 pièces","2 chambres","74 m²","Trois Quartiers-Siblas, Toulon (83000)",""
"D","159 000 €","1 963 €/m²","Appartement à vendre","4 pièces","3 chambres","81 m²","Rodeilhac, Toulon (83200)",""
"C","199 000 €","3 491 €/m²","Appartement à vendre","3 pièces","2 chambres","57 m²","Barbès-Valbourdin , Toulon (83000)",""
"C","189 900 €","2 646 €/m²","Appartement à vendre","4 pièces","3 chambres","71,8 m²","Toulon (83200)",""
"C","99 000 €","2 415 €/m²","Appartement à vendre","2 pièces","1 chambre","41 m²","Toulon (83000)",""
"C","208 949 €","2 448 €/m²","Appartement à vendre","3 pièces","2 chambres","85,3 m²","Toulon (83000)",""
"D","273 000 €","4 333 €/m²","Appartement à vendre","3 pièces","2 chambres","63 m²","Toulon (83000)",""
"C","169 000 €","2 113 €/m²","Appartement à vendre","5 pièces","3 chambres","80 m²","Temple, Toulon (83200)",""
"C","145 000 €","2 544 €/m²","Appartement à vendre","3 pièces","2 chambres","57 m²","Toulon (83200)",""
"C","179 000 €","2 793 €/m²","Appartement à vendre","3 pièces","2 chambres","64,1 m²","Toulon (83100)",""
